AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
15000,580,290,37700,94,0,8,8,2,urban,2,2,0.1,1,0,0,118,77,3.6,18.3,1557.4,11
39000,1500,1330,50400,57,0,6.5,12,2,urban,2,2,0.2,2,0,4.5,61,76.9,123,11.9,1492.5,48
4700,160,70,6000,142,0,8.5,12,3,urban,2,2,0.1,0,0,1.5,226,76.9,123,11.9,1492.5,55
19000,610,230,22600,49,0,7.5,10,3,urban,2,2,0.1,0.5,0,1.5,55.5,76.3,98.4,12.4,1468.6,36
45000,710,3050,57600,117.8,9,1,4,2,urban,7,2,0.1,0.5,0,1,137.3,74.2,49.8,14.6,1219.1,54
8600,460,460,16800,55.5,0,7.5,10,3,rural,2,2,0.2,7.2,0,0,57.8,74.4,29.9,15.5,1271,15
5500,320,430,7000,61,0,6,8,2,rural,2,2,0.2,20,0,0,71,77.8,17.3,16.2,1406.7,13
5200,290,270,5800,56.5,0,6,8,2,rural,2,2,0.2,0.5,0,0,58,77.8,17.3,16.2,1406.7,12
10000,520,950,13600,70,0,7,8,2,rural,2,2,0.2,0,0,1.5,84,78.3,8.3,17.4,1538.4,39
11000,640,1050,14200,61.7,0,7,15,3,rural,2,3,0.2,0.7,0,0,64.7,73.9,36.5,15.2,1178.3,9
15000,630,1760,20800,82.5,0,24,6,3,rural,2,2,0.2,0,0,4,84,73.2,20.9,16.3,1268,48
33000,1350,2120,49000,60.7,0,6,10,2,rural,2,2,0.2,0.2,0,2,66.3,73.6,37.4,14.9,1257.3,33
33000,1350,2120,47600,41,0,6,10,2,urban,2,2,0.1,0,0,2,53,73.6,37.4,14.9,1257.3,33
9300,550,1340,10200,38.3,0,9.3,16,2,rural,2,3,0.1,0,0,1.5,38.9,73.2,20.9,16.3,1268,17
9800,580,1410,10300,38.6,0,9.5,16,2,rural,2,3,0.1,0,0,1.5,41,73.2,20.9,16.3,1268,17
23000,900,2510,28000,47,0,10,8,2,small urban,2,2,0.1,0,0,1.5,48.7,74.2,21.3,16.2,1323.6,48
3000,150,390,7400,47.2,0,5,8,3,rural,2,2,0.1,0,0,1.5,50,76.8,39,15.3,1381.9,23
13000,590,2700,21800,70,0,12.5,10,3,small urban,2,2,0.3,35,0,4,84,73.2,20.9,16.3,1268,46
7800,400,180,16000,87,0,6,8,4,rural,2,3,0.3,3,0,4.5,167,76.4,153.6,11.4,1371.1,36
26000,900,1350,25000,76,0,5.2,7,2,urban,2,2,0.2,42.7,0,1.5,76.3,78.2,27.3,15.9,1427.6,30
29000,1230,3080,37900,56.5,0,7,8,2,urban,2,2,0.1,0,0,1.5,63,73.6,37.4,14.9,1257.3,19
28000,810,510,40400,57,0,6.5,12,2,small urban,2,2,0.1,0,0,1.5,59,74,65.2,13.6,1310.7,49
16000,610,480,23400,84.7,0,8,8,4,rural,2,2,0.2,38,0,1.5,91,75.1,56.1,14.5,1225.7,32
4700,220,490,700,45.5,0,12,7,3,rural,2,3,0.1,0,0,0,71,75.1,56.1,14.5,1225.7,1
20000,970,530,20400,77,0,12.5,7,3,urban,2,2,0.1,2,0,1.5,85,73.9,36.5,15.2,1178.3,52
6600,760,550,2300,35.2,0,8.5,8,2,urban,2,2,0.2,0,0,0,36.6,76.6,28.5,15.8,1382.6,6
17000,830,380,21000,59.7,0,6.8,11,3,rural,2,2,0.1,0,0,1.5,61,76.2,134.4,12,1478,46
23000,670,210,58700,101.7,0,6.5,10,4,urban,2,2,0.1,15.7,0,1.5,119.7,73.9,36.5,15.2,1178.3,44
3600,150,83,6300,88,0,3,6,5,rural,2,3,0.1,6.5,0,1.5,117.5,,,,,81
29000,1460,1790,33700,38,0,7,15,3,rural,2,3,0.1,3,0,0,50,73.6,37.4,14.9,1257.3,6
27000,1330,1630,31500,44.7,0,7,15,3,rural,2,3,0.1,2.3,0,0,56,73.6,37.4,14.9,1257.3,6
24000,1100,660,38600,53.8,0,9.5,8,2,urban,2,2,0.1,0,0,0,63.5,77,3.6,18.3,1557.4,12
21000,1100,720,30200,72,0,10,10,2,urban,2,2,0.1,1,0,0,75,77,3.6,18.3,1557.4,12
36000,1360,550,42200,121,0,7,13,3,rural,2,3,0.2,7.5,0,0,136.5,73.9,25.5,15.9,1204.9,16
4900,250,300,5200,83.5,0,10.5,12,3,rural,2,2,0.2,22.5,0,3,102.2,73.9,32.8,15.4,1242.1,57
32000,1190,470,51900,74,0,7.5,10,3,urban,2,2,0.2,0,0,2,76,74.2,49.8,14.6,1219.1,43
42000,1740,1310,47600,47,0,13,11,3,urban,2,2,0.2,0,0,2,52,74.2,49.8,14.6,1219.1,35
11000,560,180,14600,67,0,5,10,3,rural,2,2,0.1,0,0,1.5,76,73.6,37.4,14.9,1257.3,50
3400,180,250,3600,103.2,0,6.9,8,4,urban,2,2,0.2,8.2,0,1.5,104.8,77.2,35.2,15.4,1361.1,58
2600,110,43,5000,68.5,0,5.5,8,4,rural,2,2,0.1,8.8,0,1.5,86,76.2,108.2,12.7,1540,41
15000,400,150,26800,57.3,0,10.5,15,2,urban,2,3,0.1,0.7,0,0,63.3,75.1,39.5,15.1,1277.7,6
2000,47,69,3000,50,0,7,8,2,small urban,2,2,0.1,0,0,1.5,91.5,78.2,27.3,15.9,1427.6,16
5200,120,180,11300,54.3,0,7,8,2,small urban,2,2,0.1,0,0,1.5,92.3,78.2,27.3,15.9,1427.6,16
3300,78,110,7200,66.2,0,6,10,2,small urban,2,2,0.1,0,0,1.5,79.5,78.2,27.3,15.9,1427.6,14
4800,160,280,3800,89,0,7,8,2,rural,2,2,0.1,0,0,0,118,78.2,27.3,15.9,1427.6,3
5300,180,34,8900,86.5,0,7.5,10,5,rural,2,2,0.1,4.8,0,1.5,95.5,76.2,134.4,12,1478,40
24000,990,360,50400,50.4,10,0,11,2,urban,3,3,0,0,0,0,54.8,76.1,28.6,15.6,1328.6,4
13000,280,87,13000,128,0,8,8,5,urban,2,2,0.1,3,0,2,147,78.7,3.3,18.3,1576.4,31
16000,670,760,23000,60,0,5.5,15,2,small urban,2,3,0.1,6,0,0,65,74.4,29.9,15.5,1271,4
97267,4058,2886,109000,134.5,11,13,4,2,urban,3,2,0,1.5,0,11,135.5,31.9,0,23.4,149.8,25
50418,1901,1034,52435,108.7,0,5,23,2,urban,7,2,0.1,0,0,2,111.3,77.5,246.4,10.9,1398.2,21
52155,1992,772,57892,90,8,4,8,3,urban,7,2,0.2,0,0,2,106,77.5,246.4,10.9,1398.2,79
52114,1991,771,57847,91,8,4,8,3,urban,7,2,0.1,1,0,2,118,77.5,246.4,10.9,1398.2,79
52114,1991,771,57847,83,8,4,8,3,urban,7,2,0.1,0,0,2,102,77.5,246.4,10.9,1398.2,79
135073,5160,1999,149931,61,8,4,7,3,urban,7,2,0.1,4,0,3.5,97,77.5,246.4,10.9,1398.2,79
56639,2164,838,62869,52,9,4,9,3,urban,7,2,0,0,0,3,71,77.4,181.5,11.5,1387.7,81
57355,2191,849,63664,85,9,5,9,3,urban,7,2,0.1,0,0,3,107,77.4,181.5,11.5,1387.7,85
59581,2276,882,66135,80.3,9,5,9,3,urban,7,2,0.1,0,0,3,111,77.4,181.5,11.5,1387.7,85
69104,2640,1023,76705,52.8,9,4,9,3,urban,7,2,0.1,0,0,3,59.8,77.4,181.5,11.5,1387.7,85
81433,3111,1205,90391,142,7,2,9,3,urban,7,2,0.2,0,0,3,167,77.4,181.5,11.5,1387.7,87
66015,2522,977,73277,75.5,9,3,9,3,urban,7,2,0.1,0,0,3,84.2,77.4,181.5,11.5,1387.7,88
53919,1736,679,59311,63,10,9,12,2,urban,7,2,0.1,2,0,3,140,77.4,181.5,11.5,1387.7,71
126381,4487,1630,145338,83.5,10,13,12,2,urban,7,2,0.1,0.5,0,3,157,77.5,309.4,10.2,1470.4,71
27843,1105,303,30906,210,4,5,8,3,urban,7,2,0.1,1,0,2,260,77.5,309.4,10.2,1470.4,91
99137,3519,1279,112025,97,8,2,11,2,urban,7,2,0.1,0,0,2,113,77.5,309.4,10.2,1470.4,39
139514,4953,1800,157651,55,8,2,11,2,urban,7,2,0.1,0,0,2,62,77.5,309.4,10.2,1470.4,39
85222,3025,1099,93744,54,10,7,10,2,urban,7,2,0.1,0,0,2,66,77.5,309.4,10.2,1470.4,87
9216,382,60,9400,76,10,5,10,4,urban,7,2,0,0,0,3,110.2,78.8,44.6,13.3,1281,86
14171,587,96,14454,80,0,5,8,4,urban,7,2,0,0,0,3,111,78.8,44.6,13.3,1281,86
14677,608,100,14971,98,0,4,9,4,urban,7,2,0,0,0,3,104,78.8,44.6,13.3,1281,98
10065,417,68,10266,78.5,8,2,8,4,urban,7,2,0,0,0,2,90,78.8,44.6,13.3,1281,94
12609,512,164,13113,73.4,0,2,8,3,urban,7,2,0,3.8,0,2,84.4,78.8,44.6,13.3,1281,94
9263,383,60,9448,54.5,8,2,8,4,urban,7,2,0,9,0,2,62.5,78.8,44.6,13.3,1281,94
8761,363,57,8936,62.5,8,4,8,4,urban,7,2,0,4.8,0,2,72.5,78.8,44.6,13.3,1281,94
1428,59,9,1457,160.3,8,4,8,4,urban,7,2,0,14.7,0,2,163.7,78.8,44.6,13.3,1281,94
12640,513,164,13019,201,0,5,8,3,urban,2,2,0.2,0,0,2,223,78.9,73.1,12.7,1323.9,20
19297,768,259,19876,154,0,4,19,3,urban,2,2,0.1,0,0,2,223,78.9,73.1,12.7,1323.9,22
4349,215,53,4523,60.7,0,8,12,4,rural,2,2,0,0.2,0,3,62.8,78.9,73.1,12.7,1323.9,16
21028,791,191,25444,91,8,2,8,4,urban,7,2,0.1,4,0,3,100,78,130.3,12.1,1368.6,92
15950,550,188,18981,93,7,3,7,3,urban,7,2,0.1,0.3,0,3,105.3,78,130.3,12.1,1368.6,92
47670,1821,706,52914,61,0,12,13,3,urban,2,2,0.1,0.8,0,2,63,77.4,181.5,11.5,1387.7,90
58786,2246,870,65252,69,0,5,18,3,urban,2,2,0.1,4.8,0,2,75.2,77.4,181.5,11.5,1387.7,51
64137,2450,949,71192,70,0,9,12,3,urban,2,2,0.1,3.5,0,2,75,77.4,181.5,11.5,1387.7,52
59204,2202,752,62756,51,9,4,9,3,urban,7,2,0.1,2,0,3,125,77.5,309.4,10.2,1470.4,86
48677,1811,618,51598,52.7,0,12,18,3,urban,2,2,0.1,0,0,2,54.7,77.5,309.4,10.2,1470.4,55
